epoch	time	lr	train loss	train acc	testloss	test acc
179	0:0	0.001	0.00249	1e+02	0.291	93.5
180	0:0	0.001	0.00264	1e+02	0.29	93.6
181	0:0	0.001	0.00252	1e+02	0.291	93.5
182	0:0	0.001	0.00253	1e+02	0.292	93.7
183	0:0	0.001	0.00228	1e+02	0.292	93.6
184	0:0	0.001	0.0025	1e+02	0.291	93.6
185	0:0	0.001	0.00248	1e+02	0.29	93.6
186	0:0	0.001	0.00237	1e+02	0.291	93.6
187	0:0	0.001	0.00235	1e+02	0.289	93.7
188	0:0	0.001	0.00238	1e+02	0.292	93.6
189	0:0	0.001	0.00217	1e+02	0.29	93.7
190	0:0	0.001	0.00243	1e+02	0.289	93.7
191	0:0	0.001	0.00209	1e+02	0.289	93.7
192	0:0	0.001	0.00236	1e+02	0.291	93.6
193	0:0	0.001	0.00232	1e+02	0.29	93.7
194	0:0	0.001	0.00256	1e+02	0.288	93.6
195	0:0	0.001	0.00226	1e+02	0.289	93.6
196	0:0	0.001	0.00226	1e+02	0.289	93.6
197	0:0	0.001	0.00224	1e+02	0.291	93.6
198	0:0	0.001	0.00231	1e+02	0.287	93.7
199	0:0	0.001	0.00232	1e+02	0.289	93.6
